Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
MM,MAGA seem overly confident today in their fake poll numbers and false narratives that Trump has this election locked up.,Oct-10,78,7.9K,751
WTFGOP,"We have 28 days to go! All Gas, No Brakes. Bring your friends & family!",Oct-10,153,5.3K,692
Hoodlum,"Trump sent Putin rapid COVID testing machines worth hundreds of thousands of dollars, yet couldn't be bothered to get Paul Whelan released?",Oct-11,194,13.7K,4.1K
Tea Pain,We are about to see a wave of Trump-paid polls trying to accomplish two things: 1) Suppress Democrat vote 2) Create an “argument” for election fraud when Trump loses.,Oct-10,738,4.4K,1.2K
Laura Chapin,"Thanks to Trump overturning Roe, the Supreme Court just issued a ruling that a woman bleeding out from a miscarriage can die on the ER table in Texas.",Oct-10,355,52.5K,11.4K
WTFGOP,"Everyone saying that people are leaving Twitter right now, think about this: Twitter has its problems but it is a major source of how we get information out.",Oct-10,344,3.5K,1.2K
4fluxaxel,Who thinks Trump's assassination attempts were staged?,Oct-08,66,11K,1.1K
WTFGOP,"I'm begging everybody, if you can vote early, please do so. Do not wait until election day. As you can see with hurricanes bearing down on some of these states.",Oct-08,275,11K,1.2K
Chris Evans,Why was Donald Trump shipping our COVID supplies to Russia at the height of the pandemic?,Oct-08,146,15.7K,6.3K
Haley Stevens,Donald Trump came to Detroit today and insulted our city's rebound and resolve.,Oct-10,559,122K,41.6K
Jenny,All you Latinos for Trump are so GOOOOOD.,Oct-10,2.1K,115K,4.5M
Mayo,I'm convinced that Barack Obama lost a loafer up Trump's ass last night.,Oct-11,88,3.3K,823
Hal Sparks,"People...when Trump says ""If Harris gets in, the whole country will be like Detroit""...he means Black.",Oct-11,378,25K,2.3K
Ron Filipkowski,I can give you the answer for everyone who is baffled about why Trump is spending Saturday doing a rally in Coachella when there seems to be zero political benefit.,Oct-11,234,185K,11.5K
Breanna Morello,I would like to nominate myself as the deportation czar in President Donald Trump's second term.,Oct-10,118,75K,5.5K
Kamala's Wins,BREAKING: Analysts are questioning Donald Trump’s stamina after his second rally showing a steep drop off in performance. Trump was rambling incoherently.,Oct-11,846,174K,2.4K
Jennifer Taylor-Skinner,Hot Take: Voting for Jill Stein already knows it’s a vote for Trump.,Oct-11,37,2.5K,171
Bob Cesca,"""That fucking asshole"" - what Biden calls Donald Trump in private, according to Bob Woodward. Same, but I also do it in public.",Oct-08,843,6.1K,1.6K
Donald J. Trump,"We are now, in all throughout the world, an OCCUPIED AMERICA... But to everyone here in Colorado and all across our nation, I make you this vow: November 5th, 2024 will be LIBERATION DAY in America!",Oct-11,27.1K,45.5K,11.4K
Art Candee,Trump is holding a rally at Madison Square Garden at the end of the month.,Oct-11,270,45K,1.2K
Kamala's Wins,"BREAKING: Mark Milley, former U.S. General and Donald Trump’s Chairman of the Joint Chief of Staff, just blasted Donald Trump for being a fascist down to the core.",Oct-11,9.4K,174K,2.4K
Ron Filipkowski,"So... ""Union Workers for Trump"" weren’t union. ""Autoworkers for Trump"" weren’t autoworkers. ""Firefighters for Trump"" weren’t firefighters.",Oct-11,14K,84.8K,37.5K
Jon Cooper,"How does the media praise Tim Walz for being off by a few weeks on the time he visited China (15 years ago), but they REFUSE to press Donald Trump on his Total Lie?",Oct-11,12K,36.5K,1.5K
The Shallow State,It’s shocking that Trump does harm to hurricane victims and first responders with a barrage of lies during a crisis.,Oct-11,80,1.2K,21K
The USA Singers,"Don’t listen to the polls, pundits, media, or news. Listen to your soul. There’s no way Trump has more support now than in 2020.",Oct-11,78,1.2K,15K
The USA Singers,"To be clear: Donald Trump, Elon Musk, Leonard Leo, Charles Koch, Harlan Crow, Rupert Murdoch, etc., are the villains. Vote blue to defeat these maniacs.",Oct-10,16,716,23K
John Ales,CNN wants a president Trump. Fuck CNN.,Oct-10,14,1.3K,314
NoelCaslerComedy,"You can’t fool me Elon, I know your secret plan is to get Trump to marry your mom so you can call him daddy.",Oct-10,43,2.4K,340
Grant Stern,"Places Donald Trump hates: Detroit, Milwaukee, prison. Swing states Trump cannot win an election without: Michigan, Wisconsin...",Oct-10,141,422,74K
Outspoken M,Why would Trump send Covid tests to Putin if it was a hoax...,Oct-09,172,758,11K
Chris Hahn,Trump is weak. Pass it on...,Oct-11,23,599,11K
Thank you Joe Biden,Why is Trump requesting military aircraft and vehicles? 56.8% say to aid in his next coup.,Oct-11,77,1.4K,7.2K
Political Poet,Why did Trump have Bibles made in China instead of in the United States?,Oct-09,115,332,4.1K
Peter Heinlein,"MAGA influencers and politicians constantly push out nonsense only morons would believe, ensuring control of the party for the long term.",Oct-11,113,591,18K
Rick Taylor,"Trump and the GOP used to accuse Obama of running a shadow government, which is exactly what Trump is doing.",Oct-10,67,1.4K,9.9K
Agolf Twitter Slayer,"Trump Chinese-made bibles. He paid $3 each, selling for $80. Suckers!",Oct-09,54,1.6K,10K
MAYRA Photography,"Elmo can do many things, but he can’t send his army of bots to vote for traitor Donald Trump.",Oct-11,315,3.4K,4.3K
WTFGOP,"Kamala Harris raised over a billion dollars after being nominated for president, a record-breaking amount.",Oct-09,154,2.3K,1.5K
Bryan Behar,Was there any revelation more inevitable than learning Trump’s “God Bless the USA” bibles were made in China?,Oct-10,173,384,4.1K
Tim Walz,"Trump promised that America wouldn’t lose one auto plant under his presidency, but lost six of them. While Trump abandoned manufacturing, Kamala Harris created...",Oct-11,4.7K,26K,606K
The Shallow State,"As much as I could do without Trump’s blustery bloviations for eternity, I’m starting to feel his raspy low-energy rants are in some ways even more disturbing.",Oct-10,112,849,14K
That Guy Guy Candle Co.,"Mass deportations of everyone here “illegally” will destroy our economy, but that’s what Trump is promising.",Oct-10,10,205,3.3K
Agent Self FBI,"Women, it’s time to make your voices heard. Get out and vote. Show Trump and everyone like him that we’re done with misogyny and abuse.",Oct-10,290,2.8K,8.2K
Danielle Moodie,"I am loving this! POTUS just looked into the camera and told Trump to “get a life” and help the hurricane victims, and also to do his job.",Oct-10,154,4.3K,2.9K
Eric Garcia,"If you think being “white” will protect you from the dangers of Trump becoming president, I invite you to read a history book.",Oct-10,174,352,41K
Kelly Is As Kelly Does,"Dear Weather Channel, stop saying you’re reaching out to “President Trump” for his thoughts. He is a former President or Ex-President.",Oct-10,2.9K,15.6K,75K
Steve Loves Ammo,"No tax on tips, social security, overtime pay, or interest on car loans—Donald Trump is igniting this presidential campaign!",Oct-10,63,405,1.5K
Aes,Nikki Haley voters are about to sink Trump’s election chances.,Oct-09,48,897,16K
Middle Age Riot,Donald Trump is president of two things: 1. Jack 2. Shit,Oct-10,83,480,3.3K
Aes,"Trump had some momentum this week. It crashes and burns, though. People will remember he destroyed Roe v. Wade.",Oct-11,50,259,4.5K
4fluxaxel,Who thinks Trump was America’s worst president ever?,Oct-10,82,232,1.5K
Alex Seitz-Wald,If the government can control the weather why didn’t they turn off the hurricanes under Trump?,Oct-09,82,150,5.2K
Nichole Victoria,My 24 y/o son is casting his first ever presidential vote for Donald J Trump. I couldn’t be prouder.,Oct-11,51,268,14K
WTFGOP,"According to Bob Woodward’s bombshell reporting about Trump & Putin, Trump was secretly sending COVID supplies to Putin at the height of the pandemic.",Oct-09,125,11.5K,3.7K
Trump Detester,I long for the days when I never gave two fucks about American politics.,Oct-10,112,216,1.8K
NoelCaslerComedy,Prez Obama just said “do you think Donald Trump has ever changed a diaper?” I would say that it Depends. Vote Blue.,Oct-10,218,4.8K,813
The Shallow State,One indicator of Trump’s cognitive decline advancement is a sudden dredging of something from his past.,Oct-11,112,1.5K,14K
Skyler Johnson,Russia is confirming the claim that they were sent U.S. COVID tests & supplies by Donald Trump at the height of the pandemic.,Oct-11,218,392,3.4K
NoelCaslerComedy,"I promise you the Haitian people working hard, building lives in Springfield, MA are better than the MAGA mouth-breathers that Trump and Vance have weaponized against them. Vote Blue.",Oct-11,128,2.6K,413
Aes,The moment Trump lost the election was when Harris shifted drastically to the center. That’s my prediction.,Oct-11,47,646,11K
Mia,CHARACTER IS EVERYTHING. And Trump has none. PERIOD.,Oct-11,32,184,1.2K
Steve Redmond,MAGA is all but hurt because Geraldo is pointing out the obvious: Trump has turned millions into liars.,Oct-09,41,299,1.1K
Victoria Brownworth,Kamala Harris stunned the audience into silence with her impassioned reminiscence of what it was like when Trump sent COVID tests to Putin while Americans were dying.,Oct-09,17,1.2K,18K
4fluxaxel,Who thinks Kamala will be a way better president than Trump?,Oct-07,760,3.3K,34K
Joshua Smithley,"New PA poll out from BullfinchGroup: Harris 50%, Trump 46%. Harris +4.",Oct-09,160,4.5K,3.7K
Scott Dworkin,This is your daily reminder: Trump’s an anti-union scab who screws over workers. He has refused to pay overtime wages and pay people in general.,Oct-09,113,2.5K,2.1K
I Smoked Diddy,Crazy how all these conservatives were complaining we should spend our resources here at home instead of sending COVID supplies to Putin in 2020.,Oct-09,176,2.4K,2.4K
Victoria Brownworth,People suddenly mad at Bob Woodward forget he warned Trump about the pandemic back in early 2020. A million people died. He lost his moral center years ago.,Oct-08,35,4.2K,5.8K
The Lincoln Project,Private citizens are forbidden under the federal Logan Act from engaging in foreign policy undercutting America. Why did Trump have at least seven one-on-one phone calls with Putin since leaving office?,Oct-08,318,839K,8.3K
American Veteran,I am disgusted beyond belief that a Vietnam War veteran would give Trump a Purple Heart. Trump bought his way out of Vietnam because he was a coward.,Oct-08,127,4.1K,3.9K
Art Candee,"As Donald Trump prepares to give a hate rally in Aurora, Colorado, I just want to point out our Founding Fathers stressed the importance of immigration. They would have loathed MAGA.",Oct-11,25,608,11.3K
Angry Staffer,Remember the thing Republicans did in 2020 where they flooded the zone with junk polls to make it look like Trump was winning? They’re doing it again. Polls don’t vote.,Oct-11,623,6.1K,285K
Mary Trump,"If you’re the guilty party, and Donald nearly always is, your best bet is to create as many delays as possible. He has done this every time after being charged.",Oct-05,174,12.5K,2.5K
Alex Cole,Have you noticed all the cities Trump says he hates and calls terrible are cities with majority black and brown people? Those are also the cities he claimed stole the election from him.,Oct-11,23,4.5K,48K
Mary L Trump,Far too many reporters fear Donald and think appeasing him will protect them. They are wrong. They must warn the public of the unique danger a second Trump administration poses.,Oct-09,148,4.1K,50K
Palmer Report,"The speech Trump is giving right now, it sounds like he’s been dead for six months and no one has had the heart to tell him.",Oct-11,137,14.7K,2.1K
Art Candee,Trump makes his Bibles in China. Trump made his red hats in China. Trump makes his $100K watches in China. Trump hired a guy in Europe to...,Oct-10,236,837,8.8K
Andrea Junker,Still no answer to the question: Why did Donald Trump tell Bob Woodward the truth about COVID-19 in March 2020 but not the American people?,Oct-08,158,1.3K,49K
Mayo,Trump’s rallies are two hours of hate speech with an American flag flying in the background.,Oct-09,42,1.8K,10.9K
Palmer Report,"The speech Trump is giving right now, it sounds like he’s been dead for six months and no one has had the heart to tell him.",Oct-11,137,14.7K,2.1K
Angry Staffer,"Still no answer to this question: Why did Trump tell Bob Woodward the truth about COVID in March 2020, but not the American public?",Oct-08,158,1.3K,49K
WTFGOP,OMFG what the fuck is wrong with some of you motherfuckers? Do you think somewhere like Pennsylvania that was Harris +6 is now Trump +3?,Oct-11,795,3.4K,178K
Molly Ploofkins™,Will George and Laura Bush show some courage for once? Even Dick Cheney is warning us about Trump.,Oct-11,405,1.2K,4.8K
I Smoked Diddy,"Hiding that Trump secretly conspires with Putin, sent him COVID tests while Americans couldn’t get any, and calls Mohammed Bin Sawing on burner phone. Bob Woodward cares about his book more.",Oct-08,216,3K,9.9K
SarahCA,"Had President Biden appointed Sally Yates as AG instead of Garland, we wouldn’t be in this nightmare Trump election. Garland’s failure to act timely contributed to this disaster.",Oct-08,816,2.4K,11.4K
Victor Shi,Watching Barack Obama right now reminds me that he is one of the most effective orators of our lifetimes. He is taking down Donald Trump and rallying Kamala Harris like never before.,Oct-10,97,616,4.3K
Heather Thomas,"There’s a reason why North Korea, Russia, and China are amplifying Trump’s depraved lies about FEMA. They’re our nation’s mortal enemies! Protect your family. #VoteBlue",Oct-09,24,425,1K
Fireborn,"Polls be like: Is Donald Trump guilty of the crimes he has been accused? Yes: 60%, No: 34%. Is Donald Trump a moral monster? Yes: 74%...",Oct-09,1.4K,7.8K,123K
Americans for Tax Fairness,"BREAKING: One Trump tax cut allowed 15 corporations to avoid paying $1 billion each in taxes, including Google, Meta, Amazon. Google alone saved $11 billion.",Oct-11,613,4.8K,47K
Mayor Mike Duggan,"Detroit just hosted the largest NFL Draft, the Tigers are in the playoffs, the Lions are headed to the Super Bowl, and we did it all without Trump’s help.",Oct-10,422,4.7K,2.2M
Mayo ❤️,Quick question for everyone: Do you think Trump has dementia?,Oct-11,5.3K,14.7K,260K
Dan Cluchey,Can’t get over the fact that Trump secretly shipped COVID tests to Putin while U.S. hospitals faced shortages and Americans died—arguably the most scandalous revelation.,Oct-11,589,6.9K,28K
JoJoFromJerz,"Donald Trump is an adjudicated rapist, convicted felon who brags about sexual assault and stole our right to bodily autonomy.",Oct-07,269,647,3.3K
Illuminatibot,"George Bush, Bill Clinton, Barack Obama, Joe Biden, and Kamala Harris have held power for 28 out of the last 32 years. All five of them are blaming Trump.",Oct-09,659,24K,76K
Agent Self FBI,"Let’s summarize the MAGA mentality: News is FAKE, COVID is FAKE, Polls are FAKE, Elections are FAKE... Trump’s convictions are FAKE.",Oct-04,4.4K,13K,90K
Palmer Report,Trump has announced that “the wind is bullshit.” There’s nothing left of his mind at all.,Oct-09,54,538,2.5K
DrJackBrown,There is zero doubt that Donald Trump has for years held and continues to hold the contents of the 4500 FBI citizens reports as Kompromat.,Oct-11,39,854,2.7K
Art Candee,Obama is gonna haunt Donald Trump’s dreams tonight.,Oct-10,145,261,3.3K
Kamala’s Wins,"BREAKING: Following Trump’s continued lies regarding hurricane relief, Republican Governors have come out against him. Even Republicans are admitting Trump’s lies are dangerous.",Oct-07,528,8.3K,121K
Garrett Haake,Increasingly hyperbolic language from Trump about migrant crime in Aurora. He’s talking about communities being “invaded and conquered” by immigrants.,Oct-11,87,84,21K
Brian Stelter,"With Trump ruling out any more presidential debates, CNN is inviting both Trump and Kamala Harris to participate in town hall events with voters...",Oct-10,309,1.5K,170K
Jim Acosta,Biden on disinformation on federal storm response: “These lies are un-American. Trump has led this onslaught of lies.”,Oct-09,329,778,3.2K
Lindy Li,"You called us insane for saying Trump serves Putin. You slammed us for saying he’s a Kremlin asset. Well, Trump was just exposed for sending COVID tests to Putin.",Oct-09,1.4K,7.2K,200K
DocNetyou,"Barack Obama hitting the campaign hard for Kamala and all the leftists fawn over him. Obama SPYED on ALL Americans and if it weren’t for Snowden, Trump wouldn’t be.",Oct-11,724,5.6K,11K
Jack Hopkins,Barack Obama knows the secret to demolishing Trump and gleefully does so: You bully the bully. This is the key.,Oct-11,135,1.5K,5.6K
MAYRA Photography,"If given the chance, Donald Trump would make America just like Russia. He needs to be stopped.",Oct-11,46,1.1K,7K
Mayo ❤️,Mike Johnson is going to let people die because he wants Donald Trump back in the White House.,Oct-07,584,4.2K,124K
Kenny Akers,"Don’t overlook the race-baiting comments made by Trump during one of his rallies, asking, “Would you rather have the Black president or the white president?”",Oct-10,71,298,1.1K
Mark D. Levine,If you’re confused that Trump is doing a rally at MSG…this is about CONGRESS.,Oct-09,250,4.2K,9.2K
Mayo ❤️,Another perk of voting for Kamala Harris is that Donald Trump will finally be held accountable.,Oct-10,126,3.2K,25K
altNOAA 🇺🇸,"Before I start this long day, I think I want to respond to this “Trump-Purple Heart” BS. I was so livid that anything I would’ve said would put a black sedan in my driveway.",Oct-06,237,1.9K,7.9K
Ivanka Trump,OMG! METS,Oct-09,404,8.1K,835K
The Shallow State,My concise summary of Trump’s rally in PA: “Women are stupid. I hate them.”,Oct-09,21,252,1.1K
Kenny BooYah!,"When you see and hear Barack Obama, how did America follow up a brilliant Obama with a morally bankrupt Trump?!",Oct-10,190,195,2.7K
Boston Smalls,People are shocked to find out Trump has been in contact with Putin at least 7 times since leaving office.,Oct-11,32,126,776
MM ❤️,"If Donald Trump has taught us anything, it’s that he can’t be trusted to help people in a disaster.",Oct-09,30,347,906
The Shallow State,"Trump, clearly reading off a teleprompter in Aurora CO, said: “We don’t use teleprompters.”",Oct-11,144,648,9.6K
JB Thinkin,How long before Trump will apply for disaster relief for his Florida property?,Oct-09,24,175,693
Chris D. Jackson,"President Biden is blistering Trump, Marjorie Taylor Greene, and other Republicans for spreading disinformation amid ongoing natural disasters.",Oct-09,24,116,540
Andrew,"Donald Trump is having a totally normal one, posting that he thinks Obama will vote for him because he doesn’t like that Kamala is a “low IQ person.”",Oct-11,22,194,866
Jess Piper,Obama is absolutely wrecking Trump right now 😂,Oct-10,110,862,3.1K
Tim Hannan,Donald Trump is the stupidest motherfucker in the history of stupidity.,Oct-10,54,309,2.2K
JB Thinkin,"Trump is that loudmouth bully in the back of the bus, harassing everyone until someone knocks him the fuck out!",Oct-10,97,161,715
Tom Joseph,A reporter should ask Merrick Garland why Trump hasn’t been arrested for having 7 recent conversations with Vladimir Putin after he stole classified documents.,Oct-09,52,4.2K,14K
Rohan Patel,Trump on autonomous vehicles: “Death Traps.” “Concerning.” “Will never work.”,Oct-10,55,269,309
Andrew,Donald Trump is so old he said “most people have no idea what a phone app is” to a nation where 96% of the population has a smartphone.,Oct-09,21,150,635
Rachel Bitecofer,Citizen Trump has had 7 private calls with Putin since leaving office. Are you really going to vote for someone with Vladimir Putin on speed dial?,Oct-08,52,640,1.3K
WTFGOP,The news is reporting that Kamala Harris’ Medicare proposal could transform long-term care for the middle class.,Oct-09,112,371,1.5K
MAYRA Photography,Trump and MAGA are hellbent on destroying the American dream.,Oct-09,23,645,1.9K
Lane,"I post a lot of silly, random, nonsensical fluff about life in this crazy rock of ours, but it’s all about levity. I came to this app to find a tribe through Trump’s admin.",Oct-10,163,73,722
Abraxsys,"The first case of COVID-19 appeared in the U.S. on January 20, 2020. On February 7th, Trump sent PPE to China. With the virus on our shores, he gave away the equipment needed to protect us.",Oct-10,31,573,783
Jake Traylor,Trump posted on Truth Social that he was endorsed by Chase CEO Jamie Dimon. Dimon said that’s not true. I asked Trump about it...,Oct-04,288,1.1K,4.6K
Ricky Davila,A reminder that Oklahoma’s MAGA lunatic superintendent wants to spend taxpayer money on Trump Bibles for all classrooms in the state.,Oct-10,128,975,13K
Mayo ❤️,"If anyone deserves to rot in prison for the rest of their miserable life, it’s Donald Trump.",Oct-04,174,3.6K,14.4K
Mary L Trump,How many Americans died because Donald sent COVID tests to Russia?,Oct-08,6.6K,7.6K,525K
Anonymous,"If Trump does win the election, after 6 months JD Vance and Trump’s cabinet will enact the 25th Amendment citing Trump’s mental decline.",Oct-11,2.7K,3.3K,25K
Joe Walsh,"I wonder what Republicans, and Hannity & everyone else at Fox News, would say if we found out Obama had been having private phone conversations with Iran’s Supreme Leader...",Oct-10,364,4.8K,18.6K
Alex Cole,Trump is telling easily disproven blatant lies. It’s like he doesn’t even care that you know he’s lying. He’s behaving like a guy who knows he’s the leader of a cult.,Oct-11,171,683,3.2K
Bad Hombre,Kamala’s pre-recorded scripted teleprompter Univision town hall is getting ripped to shreds on Latino morning programs.,Oct-11,176,1.1K,8.4K
The Lincoln Project,"Hurricane Helene has revealed a lot about Donald Trump. When Americans needed support, Trump revealed more about his selfish center and showed it.",Oct-05,121,4.2K,12.4K
MAYRA Photography,"I’m sorry to tell you this, but if you don’t vote you’ll help Trump get elected and walk free.",Oct-11,62,402,1.2K
WTFGOP,I just got my notification from the state of CA that my ballot has been accepted & counted. It should be this easy to vote everywhere. #HarrisWalz 💙 🇺🇸,Oct-09,185,896,5.6K
Zeek Arkham 🇺🇸,Trump: “I have nothing to do with Project 2025.” Heritage Foundation: “We have everything to do with Project 2025 and nothing to do with Trump.”,Oct-07,814,14K,60K
Mayo ❤️,Donald Trump is an incoherent moron.,Oct-10,79,283,1.6K
Bryan Behar,"Let’s not forget, the only reason Trump isn’t in jail for stealing classified documents is because he appointed the judge overseeing his case.",Oct-09,172,2.3K,7.8K
Republicans against Trump,Vote like your life depends on it because it absolutely does.,Oct-11,96,732,3.6K
MAYRA Photography,The Kremlin has confirmed that Trump sent COVID-19 tests to Putin during the pandemic.,Oct-10,53,335,895
Mayo ❤️,Vote for Kamala Harris and Tim Walz because America won’t survive Trump a second time.,Oct-09,112,619,11.6K
"Jen ""We aren't going back""",Harris was being generous. I honestly don’t think Trump loves his family. He cannot love anyone or anything but himself.,Oct-10,117,971,31K
"Pam Keith, Esq.","The GOP is buying polls to make the race look closer than it is, and the MSM is reporting that narrative so that when Trump loses by a lot, he will scream shenanigans.",Oct-11,235,4.2K,9.2K
Bryan Behar,"This week alone, we’ve learned: Trump sent COVID testing machines to Putin, had 7 illicit conversations with the murderous dictator, and his “God Bless the USA” bibles were made in China.",Oct-09,172,944,2.2K
Dash Dobrofsky,"Trump lying about FEMA in the middle of a deadly hurricane should disqualify him from the race—and frankly, it warrants a criminal investigation.",Oct-08,70,517,1.3K
Hugo Lowell,"New—Asked if Trump lost the 2020 election, VP Harris told Stephen Colbert: “You know, when you lose millions of jobs, lose auto plants, you lost the election. What does that make you? A loser?”",Oct-08,54,674,2.7K
Morgan J. Freeman,My reach is down 75% because I hate fucking Trump on a pro-Trump platform. @elonmusk is evil and has turned Twitter into a MAGA MACHINE.,Oct-08,9.7K,9K,60K
Palmer Report,President Biden just told Donald Trump to “get a life”,Oct-10,45,518,3.1K
Morgan J. Freeman,Donald Trump is a radical domestic terrorist. He is going to prison.,Oct-09,78,174,1.3K
Ron Filipkowski,"I 1,000% guarantee you that in his next Fox interview Trump will lie and claim Harris used a Teleprompter at her Univision Town Hall and whoever does the interview will not correct him.",Oct-11,116,2.1K,11K
MAYRA Photography,"Kamala Harris deserves a chance to prove that she can lead America. We already know what Trump has to offer; chaos, lies, and division.",Oct-09,32,382,1.3K
American Islandman,Breaking News. CNN is reporting that sources have confirmed that Trump gave Putin an Egg McMuffin and a medium coffee. Sources said Trump did it when Americans are in need.,Oct-09,174,167,2.5K
WTFGOP,"So how do we get this new power to control the weather? I got my COVID shot—nada, Voted for Kamala Harris—still no, Told another MAGA tool to go fuck himself today—Nope.",Oct-09,96,843,3.4K
Tim O'Brien,"Reince Priebus on ABC saying Trump being a threat to democracy is a Democratic “talking point.” No, it’s not. It’s a fact. Jan. 6 happened.",Oct-06,340,1.3K,9.5K
Scott MacFarlane,Judge Tanya Chutkan will allow more of Special Counsel Jack Smith’s filings in the Trump election conspiracy case to become public.,Oct-10,99,1.1K,3.9K
JoJoFromJerz,"I’m sorry, but I just can’t stop thinking about the fact that Trump told his Secretary of Defense not to worry about BOMBING Mexico because “they wouldn’t know it was us.”",Oct-05,1.4K,7.3K,28.7K
Alex Cole,"FACT: Trump added $8.1 trillion to the national debt—FAR MORE in 4 years than any President in history. If he gets back in, we will find out what happens when the U.S. defaults.",Oct-10,77,722,1.6K
Garrett Haake,About 40 minutes into Trump’s remarks in Aurora and we’re seeing some folks from the front section start to trickle out to the exits.,Oct-11,1.3K,1.9K,10K
Aes 🇺🇸,Today was the moment where the race suddenly shifted. Harris has listened to feedback. She knows what she must do. I believe it’s going to work. Trump will lose.,Oct-11,181,433,4.1K
Ricky Davila,A Tornado that formed as a result of Hurricane Milton has destroyed the building of the St. Lucie Florida County Sheriff’s office just days after their MAGA sheriff appointed Eric Trump.,Oct-10,472,3.5K,15K
Ron Filipkowski,"Trump and Stephen Miller are having a 1934 Nuremberg rally in Aurora, Colorado today.",Oct-11,160,1.3K,4.5K
WTFGOP,I’m Nervous As Fuck 💙🇺🇸,Oct-10,98,1.3K,3.1K
Tea Pain,"If Trump would give Putin our COVID tests, how hard is it to believe he gave him classified secrets as well?",Oct-08,114,1.5K,4.5K
C. Severson,It’s crazy how Governor Walz allowed Minneapolis to burn down but today I saw hundreds of Harris Walz signs and zero Trump signs. Minneapolis seems to adore their governor.,Oct-06,117,5K,103K
Sarah Ironside,The sad truth is MAGA would still support Trump even if a video surfaced of their orange god and Epstein assaulting a 13-year-old. This is how far gone the MAGA cult is.,Oct-06,150,464,2K
Mayo ❤️,"Donald Trump is a serial rapist, but he expects women to believe that he’ll keep us safe. I FUCKING HATE TRUMP.",Oct-07,110,535,2.3K
Byl Holte,"Updated, alphabetized, and proofread list of celebrity Trump supporters. Be sure and support their work whenever you can. Who am I missing who’s openly endorsed? Jason Aldean, Tim Allen…",Oct-06,126,280,1.1K
4fuxake!,Who thinks Trump is a mentally deranged idiot?,Oct-05,387,329,3.3K
Sundae_Gurl,"Trump inherited a roaring economy and within 4 years he lost 5 million jobs, added $9 trillion to the deficit, lost the Senate and the White House, and killed 400,000 Americans. Want 4 more years of that?",Oct-07,148,1.2K,2.4K
Heath Mayo,"If we re-elect someone like Trump to the presidency, it will be an embarrassment for our country. He thinks Ohioans were eating their pets.",Oct-11,148,290,1.5K
Art Candee 🍿,As I was saying... I hate Donald Trump. Who’s with me?,Oct-05,310,328,2.9K
C.W. (The Jedi Master),"We are witnessing a record-breaking economy. In just 4 short years, Biden has reversed the economic damage done by Trump and the GOP.",Oct-10,120,500,5.2K
Kate 🍇 🇺🇸,The constitution was basically written to avoid Donald Trump.,Oct-09,146,949,5.2K
Jay Black,"The economy is booming, inflation is down, real wages are up, and oil production is at its highest ever. So what exactly are people hoping to accomplish by bringing back Trump?",Oct-04,120,1.7K,26K
Shannon 🇺🇸,"I’m sorry, but I can’t say this enough. I really fucking hate Donald Trump.",Oct-04,319,606,4.1K
WTFGOP,IT’S TIME FOR MY WEEKEND SMALL ACCOUNT FOLLOW BACK PARTY!,Oct-11,485,982,3.5K
Bill Madden,Good God! The sinister monstrosity that is Trump and Republican MAGA fascists must be stopped.,Oct-10,72,1.1K,3.1K
Melanie D’Arrigo,Elon Musk turned Twitter into a $44 billion in-kind donation to the Trump campaign.,Oct-11,72,1.1K,32K
